Timestamp,EquipmentId,EnergyConsumption,Humidity,ProductionRate
2026-02-07T00:00:00,EQP-001,456.5,37.8,0.0
2026-02-07T00:30:00,EQP-001,466.9,37.9,0.0
2026-02-07T01:00:00,EQP-001,514.9,37.8,0.0
2026-02-07T01:30:00,EQP-001,405.7,37.0,0.0
2026-02-07T02:00:00,EQP-001,382.4,35.0,0.0
2026-02-07T02:30:00,EQP-001,465.2,37.9,0.0
2026-02-07T03:00:00,EQP-001,351.7,38.4,0.0
2026-02-07T03:30:00,EQP-001,430.8,40.3,0.0
2026-02-07T04:00:00,EQP-001,480.1,38.2,0.0
2026-02-07T04:30:00,EQP-001,294.1,40.5,0.0
2026-02-07T05:00:00,EQP-001,466.7,39.2,0.0
2026-02-07T05:30:00,EQP-001,467.8,40.5,0.0
2026-02-07T06:00:00,EQP-001,1115.9,38.3,29.2
2026-02-07T06:30:00,EQP-001,1350.4,39.0,31.7
2026-02-07T07:00:00,EQP-001,1084.9,39.2,32.9
2026-02-07T07:30:00,EQP-001,1215.6,39.9,44.1
2026-02-07T08:00:00,EQP-001,1194.2,42.4,22.6
2026-02-07T08:30:00,EQP-001,1245.7,41.1,24.4
2026-02-07T09:00:00,EQP-001,1169.7,42.6,29.8
2026-02-07T09:30:00,EQP-001,1251.0,44.1,41.6
2026-02-07T10:00:00,EQP-001,1153.0,47.4,41.9
2026-02-07T10:30:00,EQP-001,1189.0,41.3,40.8
2026-02-07T11:00:00,EQP-001,1300.0,40.6,39.0
2026-02-07T11:30:00,EQP-001,1264.6,44.3,39.1
2026-02-07T12:00:00,EQP-001,1169.5,44.3,19.4
2026-02-07T12:30:00,EQP-001,1142.5,42.8,28.6
2026-02-07T13:00:00,EQP-001,1110.0,46.7,25.4
2026-02-07T13:30:00,EQP-001,1196.7,44.1,33.3
2026-02-07T14:00:00,EQP-001,1185.0,44.4,41.1
2026-02-07T14:30:00,EQP-001,1175.8,45.3,13.3
2026-02-07T15:00:00,EQP-001,1250.8,43.6,42.0
2026-02-07T15:30:00,EQP-001,1050.9,43.4,33.6
2026-02-07T16:00:00,EQP-001,1210.5,42.3,19.2
2026-02-07T16:30:00,EQP-001,1138.8,41.4,33.0
2026-02-07T17:00:00,EQP-001,1126.7,42.5,31.0
2026-02-07T17:30:00,EQP-001,1119.1,41.3,5.2
2026-02-07T18:00:00,EQP-001,1194.8,41.7,21.9
2026-02-07T18:30:00,EQP-001,1241.1,40.6,22.0
2026-02-07T19:00:00,EQP-001,1311.1,41.7,34.8
2026-02-07T19:30:00,EQP-001,1163.7,42.3,34.3
2026-02-07T20:00:00,EQP-001,1362.4,38.5,12.8
2026-02-07T20:30:00,EQP-001,1297.5,39.6,36.3
2026-02-07T21:00:00,EQP-001,1168.1,38.5,47.0
2026-02-07T21:30:00,EQP-001,1207.9,39.0,35.8
