Timestamp,SegmentId,Temperature,MoistureContent,CycleTime
2026-02-07T00:00:00,SEG-001,83.0,4.2,116.6
2026-02-07T00:30:00,SEG-001,82.5,4.3,114.0
2026-02-07T01:00:00,SEG-001,82.5,4.0,107.6
2026-02-07T01:30:00,SEG-001,82.7,4.0,107.8
2026-02-07T02:00:00,SEG-001,83.0,4.0,106.2
2026-02-07T02:30:00,SEG-001,82.8,4.2,116.4
2026-02-07T03:00:00,SEG-001,83.3,4.1,113.6
2026-02-07T03:30:00,SEG-001,82.7,4.1,109.8
2026-02-07T04:00:00,SEG-001,83.9,4.2,113.2
2026-02-07T04:30:00,SEG-001,83.9,4.1,112.0
2026-02-07T05:00:00,SEG-001,84.8,4.1,114.4
2026-02-07T05:30:00,SEG-001,83.7,4.0,107.9
2026-02-07T06:00:00,SEG-001,85.1,4.0,115.7
2026-02-07T06:30:00,SEG-001,85.9,4.0,112.0
2026-02-07T07:00:00,SEG-001,86.7,3.9,111.4
2026-02-07T07:30:00,SEG-001,85.9,3.9,113.2
2026-02-07T08:00:00,SEG-001,87.0,4.1,108.2
2026-02-07T08:30:00,SEG-001,86.6,4.0,115.3
2026-02-07T09:00:00,SEG-001,86.1,4.0,108.5
2026-02-07T09:30:00,SEG-001,87.4,4.0,112.3
2026-02-07T10:00:00,SEG-001,87.1,4.0,115.2
2026-02-07T10:30:00,SEG-001,87.4,4.0,114.3
2026-02-07T11:00:00,SEG-001,88.1,3.9,109.8
2026-02-07T11:30:00,SEG-001,87.7,3.8,115.2
2026-02-07T12:00:00,SEG-001,87.7,3.9,119.7
2026-02-07T12:30:00,SEG-001,87.9,4.0,112.8
2026-02-07T13:00:00,SEG-001,88.3,4.1,112.2
2026-02-07T13:30:00,SEG-001,87.7,4.1,112.1
2026-02-07T14:00:00,SEG-001,87.7,4.0,105.4
2026-02-07T14:30:00,SEG-001,88.1,4.0,104.1
2026-02-07T15:00:00,SEG-001,87.2,4.1,111.0
2026-02-07T15:30:00,SEG-001,87.8,4.0,111.1
2026-02-07T16:00:00,SEG-001,87.3,3.9,113.9
2026-02-07T16:30:00,SEG-001,86.4,4.1,109.7
2026-02-07T17:00:00,SEG-001,86.3,4.1,111.1
2026-02-07T17:30:00,SEG-001,85.9,4.1,112.9
2026-02-07T18:00:00,SEG-001,85.7,3.9,111.0
2026-02-07T18:30:00,SEG-001,85.7,3.9,113.7
2026-02-07T19:00:00,SEG-001,84.9,4.0,116.6
2026-02-07T19:30:00,SEG-001,84.8,4.0,107.3
2026-02-07T20:00:00,SEG-001,83.7,4.0,108.6
2026-02-07T20:30:00,SEG-001,83.5,4.0,110.0
2026-02-07T21:00:00,SEG-001,83.9,4.0,108.0
2026-02-07T21:30:00,SEG-001,83.8,4.2,112.3
2026-02-07T22:00:00,SEG-001,83.7,4.0,109.2
2026-02-07T22:30:00,SEG-001,83.1,4.2,112.2
2026-02-07T23:00:00,SEG-001,83.0,4.2,110.7
2026-02-07T23:30:00,SEG-001,82.7,4.2,106.5
2026-02-08T00:00:00,SEG-001,83.0,4.1,115.6
2026-02-08T00:30:00,SEG-001,83.0,4.2,105.9
2026-02-08T01:00:00,SEG-001,82.7,4.0,113.4
2026-02-08T01:30:00,SEG-001,82.6,3.9,113.1
2026-02-08T02:00:00,SEG-001,82.9,4.1,107.1
2026-02-08T02:30:00,SEG-001,83.8,4.0,113.3
2026-02-08T03:00:00,SEG-001,84.1,4.1,111.6
2026-02-08T03:30:00,SEG-001,83.7,4.2,111.0
2026-02-08T04:00:00,SEG-001,83.9,3.9,110.0
2026-02-08T04:30:00,SEG-001,83.5,4.1,112.9
2026-02-08T05:00:00,SEG-001,84.4,4.1,105.4
2026-02-08T05:30:00,SEG-001,84.4,4.0,110.8
2026-02-08T06:00:00,SEG-001,85.1,4.1,110.0
2026-02-08T06:30:00,SEG-001,85.1,4.1,107.4
2026-02-08T07:00:00,SEG-001,85.9,4.0,115.1
2026-02-08T07:30:00,SEG-001,85.5,4.1,111.5
2026-02-08T08:00:00,SEG-001,86.9,4.0,115.9
2026-02-08T08:30:00,SEG-001,86.2,4.0,115.0
2026-02-08T09:00:00,SEG-001,86.7,3.9,112.2
2026-02-08T09:30:00,SEG-001,87.2,3.9,113.0
2026-02-08T10:00:00,SEG-001,87.6,4.0,111.9
2026-02-08T10:30:00,SEG-001,87.9,4.0,105.9
2026-02-08T11:00:00,SEG-001,87.4,4.1,122.2
2026-02-08T11:30:00,SEG-001,87.7,4.1,111.1
2026-02-08T12:00:00,SEG-001,88.5,4.0,117.3
2026-02-08T12:30:00,SEG-001,87.4,3.9,109.0
2026-02-08T13:00:00,SEG-001,87.2,3.9,106.3
2026-02-08T13:30:00,SEG-001,88.3,3.9,112.1
2026-02-08T14:00:00,SEG-001,87.4,3.9,111.3
2026-02-08T14:30:00,SEG-001,87.2,4.1,108.6
2026-02-08T15:00:00,SEG-001,87.5,4.0,106.2
2026-02-08T15:30:00,SEG-001,86.6,3.9,109.2
2026-02-08T16:00:00,SEG-001,86.6,4.1,114.6
2026-02-08T16:30:00,SEG-001,86.3,4.0,112.9
2026-02-08T17:00:00,SEG-001,86.1,4.0,113.9
2026-02-08T17:30:00,SEG-001,86.1,4.1,112.1
2026-02-08T18:00:00,SEG-001,85.1,4.0,110.4
2026-02-08T18:30:00,SEG-001,85.1,4.0,103.4
2026-02-08T19:00:00,SEG-001,85.1,4.1,108.0
2026-02-08T19:30:00,SEG-001,84.6,4.0,102.9
2026-02-08T20:00:00,SEG-001,84.2,4.0,108.5
2026-02-08T20:30:00,SEG-001,84.2,3.9,106.1
2026-02-08T21:00:00,SEG-001,83.4,4.1,113.3
2026-02-08T21:30:00,SEG-001,83.6,4.2,106.1
2026-02-08T22:00:00,SEG-001,83.3,4.2,106.5
2026-02-08T22:30:00,SEG-001,83.4,4.2,106.1
2026-02-08T23:00:00,SEG-001,81.7,4.2,116.1
2026-02-08T23:30:00,SEG-001,83.0,4.2,106.8
2026-02-09T00:00:00,SEG-001,83.0,4.2,109.2
2026-02-09T00:30:00,SEG-001,82.6,4.1,111.6
2026-02-09T01:00:00,SEG-001,82.9,4.0,107.1
2026-02-09T01:30:00,SEG-001,82.3,4.1,107.9
2026-02-09T02:00:00,SEG-001,83.5,4.0,110.7
2026-02-09T02:30:00,SEG-001,82.2,4.1,112.6
2026-02-09T03:00:00,SEG-001,83.5,4.1,113.9
