Timestamp,CardId,TxnVelocity,DailySpend,DeclineRate
2025-12-01T00:00:00,CARD001,2.5,333.42,0.0
2025-12-02T00:00:00,CARD001,1.8,245.00,0.0
2025-12-03T00:00:00,CARD001,2.1,178.50,0.0
2025-12-13T00:00:00,CARD001,8.5,10300.00,15.5
2025-12-14T00:00:00,CARD001,1.2,125.00,0.0
2025-12-02T00:00:00,CARD003,3.2,1302.18,0.0
2025-12-13T00:00:00,CARD003,1.5,234.56,0.0
2025-12-03T00:00:00,CARD004,12.8,20500.00,25.0
2025-12-19T00:00:00,CARD004,6.5,2200.00,8.5
2025-12-04T00:00:00,CARD005,1.2,45.00,0.0
2025-12-01T00:00:00,CARD006,2.8,899.99,0.0
2025-12-14T00:00:00,CARD006,1.5,149.99,0.0
2025-12-04T00:00:00,CARD007,15.2,7200.00,35.0
2025-12-19T00:00:00,CARD007,9.8,9500.00,22.5
2025-12-05T00:00:00,CARD008,18.5,15000.00,45.0
2025-12-19T00:00:00,CARD008,14.2,2800.00,28.0
2025-12-05T00:00:00,CARD009,1.8,156.78,0.0
2025-12-14T00:00:00,CARD009,1.2,28.99,0.0
2025-12-05T00:00:00,CARD010,2.5,425.50,0.0
2025-12-14T00:00:00,CARD010,1.8,48.75,0.0
2025-12-06T00:00:00,CARD011,5.8,1049.99,5.5
2025-12-14T00:00:00,CARD011,11.2,6700.00,18.5
2025-12-06T00:00:00,CARD012,2.2,2800.00,0.0
2025-12-14T00:00:00,CARD012,1.5,95.40,0.0
2025-12-07T00:00:00,CARD013,1.5,89.99,0.0
2025-12-20T00:00:00,CARD013,2.1,567.00,0.0
2025-12-07T00:00:00,CARD014,1.8,62.50,0.0
2025-12-15T00:00:00,CARD014,2.5,1899.00,0.0
2025-12-07T00:00:00,CARD015,22.5,12800.00,55.0
2025-12-20T00:00:00,CARD015,18.8,8200.00,42.5
2025-12-08T00:00:00,CARD016,1.2,34.99,0.0
2025-12-15T00:00:00,CARD016,1.5,67.50,0.0
2025-12-08T00:00:00,CARD017,1.8,78.25,0.0
2025-12-15T00:00:00,CARD017,2.2,789.00,0.0
2025-12-08T00:00:00,CARD018,2.5,2100.00,0.0
2025-12-15T00:00:00,CARD018,1.8,275.00,0.0
2025-12-08T00:00:00,CARD019,2.8,350.00,2.5
2025-12-16T00:00:00,CARD019,1.5,112.34,0.0
2025-12-09T00:00:00,CARD020,16.5,6500.00,38.5
2025-12-20T00:00:00,CARD020,19.2,7600.00,48.0
2025-12-09T00:00:00,CARD021,2.2,1299.00,0.0
2025-12-16T00:00:00,CARD021,2.5,678.90,0.0
2025-12-09T00:00:00,CARD022,1.8,567.89,0.0
2025-12-16T00:00:00,CARD022,1.5,156.00,0.0
2025-12-10T00:00:00,CARD023,14.5,12200.00,32.0
2025-12-20T00:00:00,CARD023,3.2,399.99,2.5
2025-12-10T00:00:00,CARD024,2.5,123.45,0.0
2025-12-16T00:00:00,CARD024,25.8,15000.00,62.5
2025-12-10T00:00:00,CARD025,8.5,4500.00,12.5
2025-12-17T00:00:00,CARD025,2.2,445.00,0.0
2025-12-11T00:00:00,CARD026,1.8,234.00,0.0
2025-12-17T00:00:00,CARD026,1.5,82.30,0.0
2025-12-11T00:00:00,CARD027,1.2,45.67,0.0
2025-12-17T00:00:00,CARD027,1.5,51.25,0.0
2025-12-11T00:00:00,CARD028,2.5,1850.00,0.0
2025-12-17T00:00:00,CARD028,2.2,345.00,0.0
2025-12-11T00:00:00,CARD029,6.8,1799.99,8.5
2025-12-17T00:00:00,CARD029,9.5,4800.00,15.0
2025-12-12T00:00:00,CARD030,1.5,55.00,0.0
2025-12-18T00:00:00,CARD030,1.2,42.99,0.0
2025-12-12T00:00:00,CARD031,1.8,189.00,0.0
2025-12-18T00:00:00,CARD031,1.5,89.00,0.0
2025-12-12T00:00:00,CARD032,3.5,2499.00,0.0
2025-12-18T00:00:00,CARD032,2.8,1875.00,0.0
2025-12-12T00:00:00,CARD033,1.5,67.80,0.0
2025-12-18T00:00:00,CARD033,1.2,56.78,0.0
2025-12-13T00:00:00,CARD034,3.2,5600.00,2.5
2025-12-18T00:00:00,CARD034,2.8,3200.00,0.0
2025-12-13T00:00:00,CARD035,2.5,3200.00,0.0
2025-12-19T00:00:00,CARD035,5.8,5500.00,5.5
