CustomerId,DeviceId,RegistrationDate,IsPrimary
CUST001,DEV001,2021-03-15T09:30:00,true
CUST001,DEV026,2023-05-10T14:00:00,false
CUST002,DEV002,2020-07-22T14:15:00,true
CUST002,DEV032,2022-01-10T10:00:00,false
CUST003,DEV003,2019-11-08T11:00:00,true
CUST003,DEV024,2020-06-15T16:30:00,false
CUST004,DEV006,2022-01-30T16:45:00,true
CUST005,DEV005,2018-05-12T08:20:00,true
CUST005,DEV014,2019-02-28T11:00:00,false
CUST006,DEV006,2021-09-18T13:00:00,true
CUST007,DEV007,2020-12-05T10:30:00,true
CUST007,DEV010,2021-08-22T09:15:00,false
CUST008,DEV012,2019-08-25T15:45:00,true
CUST008,DEV005,2020-03-10T14:30:00,false
CUST009,DEV009,2022-04-10T09:00:00,true
CUST010,DEV007,2020-02-28T12:15:00,true
CUST010,DEV014,2021-04-18T16:00:00,false
CUST011,DEV011,2021-06-14T14:30:00,true
CUST011,DEV010,2022-01-05T10:45:00,false
CUST012,DEV012,2019-04-03T11:45:00,true
CUST013,DEV009,2022-08-20T16:00:00,true
CUST013,DEV013,2023-02-14T11:30:00,false
CUST014,DEV014,2020-10-11T08:45:00,true
CUST014,DEV018,2021-06-22T14:00:00,false
CUST015,DEV015,2018-12-30T13:30:00,true
CUST015,DEV020,2019-07-18T09:30:00,false
CUST015,DEV026,2020-11-05T16:45:00,false
CUST016,DEV016,2021-11-22T10:00:00,true
CUST017,DEV017,2020-05-07T15:15:00,true
CUST018,DEV018,2019-09-14T09:45:00,true
CUST018,DEV023,2021-03-28T11:00:00,false
CUST019,DEV019,2022-02-18T12:00:00,true
CUST020,DEV020,2018-07-26T14:45:00,true
CUST020,DEV030,2020-09-28T15:20:00,false
CUST021,DEV021,2021-04-09T11:30:00,true
CUST022,DEV022,2020-08-15T16:15:00,true
CUST022,DEV017,2021-12-10T10:30:00,false
CUST023,DEV028,2022-06-02T08:00:00,true
CUST023,DEV023,2023-01-20T14:15:00,false
CUST024,DEV003,2019-01-19T13:45:00,true
CUST024,DEV019,2020-05-14T09:00:00,false
CUST024,DEV024,2021-07-28T16:30:00,false
CUST025,DEV029,2022-10-28T10:30:00,true
